raw_venue_name,raw_city,canonical_venue_name,canonical_city,canonical_country,mapping_type,confidence,source
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,EXACT,high,identity mapping
"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",Chattogram,"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",Chattogram,Bangladesh,EXACT,high,identity mapping
"Boland Bank Park, Paarl",Paarl,"Boland Bank Park, Paarl",Paarl,South Africa,EXACT,high,identity mapping
Boland Park,Paarl,Boland Park,Paarl,South Africa,EXACT,high,identity mapping
"Boland Park, Paarl",Paarl,Boland Park,Paarl,South Africa,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Botkyrka Cricket Center, Stockholm",Stockholm,"Botkyrka Cricket Center, Stockholm",Stockholm,Sweden,EXACT,high,identity mapping
"Botswana Cricket Association Oval 1, Gaborone",Gaborone,"Botswana Cricket Association Oval 1, Gaborone",Gaborone,Botswana,EXACT,high,identity mapping
"Botswana Cricket Association Oval 2, Gaborone",Gaborone,"Botswana Cricket Association Oval 2, Gaborone",Gaborone,Botswana,EXACT,high,identity mapping
Brabourne Stadium,Mumbai,Brabourne Stadium,Mumbai,India,EXACT,high,identity mapping
"Brabourne Stadium, Mumbai",Mumbai,Brabourne Stadium,Mumbai,India,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Bready,Derry,Bready,Derry,Northern Ireland,EXACT,high,identity mapping
"Bready Cricket Club, Magheramason",Bready,"Bready Cricket Club, Magheramason",Bready,Northern Ireland,EXACT,medium,identity mapping
"Bready Cricket Club, Magheramason",Londonderry,"Bready Cricket Club, Magheramason",Bready,Northern Ireland,CURATED_ALIAS,medium,Bready CC ground at Magheramason; Londonderry is a metro tag
"Bready Cricket Club, Magheramason, Bready",Bready,"Bready Cricket Club, Magheramason",Bready,Northern Ireland,CURATED_ALIAS,medium,Bready CC ground at Magheramason; Londonderry is a metro tag
"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,Trinidad and Tobago,EXACT,high,identity mapping
Brisbane Cricket Ground,Brisbane,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Australia,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Brisbane Cricket Ground, Woolloongabba",Brisbane,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Australia,EXACT,high,identity mapping
"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Australia,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Buffalo Park,East London,Buffalo Park,East London,South Africa,EXACT,high,identity mapping
"Buffalo Park, East London",East London,Buffalo Park,East London,South Africa,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Bulawayo Athletic Club,,Bulawayo Athletic Club,Bulawayo,Zimbabwe,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Bulawayo Athletic Club,Bulawayo,Bulawayo Athletic Club,Bulawayo,Zimbabwe,EXACT,high,identity mapping
"Bundaberg Rum Stadium, Cairns",Cairns,"Bundaberg Rum Stadium, Cairns",Cairns,Australia,EXACT,high,identity mapping
Cambusdoon New Ground,Ayr,"Cambusdoon New Ground, Ayr",Ayr,Scotland,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Cambusdoon New Ground, Ayr",Ayr,"Cambusdoon New Ground, Ayr",Ayr,Scotland,EXACT,high,identity mapping
Captain Roop Singh Stadium,Gwalior,Captain Roop Singh Stadium,Gwalior,India,EXACT,high,identity mapping
"Captain Roop Singh Stadium, Gwalior",Gwalior,Captain Roop Singh Stadium,Gwalior,India,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Carisbrook,Dunedin,Carisbrook,Dunedin,New Zealand,EXACT,high,identity mapping
Carrara Oval,,Carrara Oval,Carrara,Australia,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Carrara Oval,Carrara,Carrara Oval,Carrara,Australia,EXACT,high,identity mapping
Castle Avenue,Dublin,"Castle Avenue, Dublin",Dublin,Ireland,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Castle Avenue, Dublin",Dublin,"Castle Avenue, Dublin",Dublin,Ireland,EXACT,high,identity mapping
"Cazaly's Stadium, Cairns",Cairns,"Cazaly's Stadium, Cairns",Cairns,Australia,EXACT,high,identity mapping
Central Broward Regional Park Stadium Turf Ground,Lauderhill,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,United States,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,United States,EXACT,high,identity mapping
Chevrolet Park,Bloemfontein,Chevrolet Park,Bloemfontein,South Africa,EXACT,high,identity mapping
"Choice Moosa Stadium, Pearland",Pearland,"Choice Moosa Stadium, Pearland",Pearland,United States,EXACT,high,identity mapping
"City Oval, Pietermaritzburg",Pietermaritzburg,"City Oval, Pietermaritzburg",Pietermaritzburg,South Africa,EXACT,high,identity mapping
"Civil Service Cricket Club, Stormont",Belfast,"Civil Service Cricket Club, Stormont",Belfast,Northern Ireland,EXACT,high,identity mapping
"Civil Service Cricket Club, Stormont, Belfast",Belfast,"Civil Service Cricket Club, Stormont",Belfast,Northern Ireland,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Clayton Panama, Panama City",Panama City,"Clayton Panama, Panama City",Panama City,Panama,EXACT,high,identity mapping
Clontarf Cricket Club Ground,Dublin,Clontarf Cricket Club Ground,Dublin,Ireland,EXACT,high,identity mapping
"Clontarf Cricket Club Ground, Dublin",Dublin,Clontarf Cricket Club Ground,Dublin,Ireland,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Cobham Oval (New),Whangarei,Cobham Oval (New),Whangarei,New Zealand,EXACT,high,identity mapping
College Field,St Peter Port,College Field,St Peter Port,Guernsey,EXACT,high,identity mapping
"College Field, St Peter Port",St Peter Port,College Field,St Peter Port,Guernsey,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Coolidge Cricket Ground, Antigua",Coolidge,"Coolidge Cricket Ground, Antigua",Coolidge,Antigua and Barbuda,EXACT,high,identity mapping
County Ground,Bristol,County Ground,Bristol,England,EXACT,high,identity mapping
"County Ground, Bristol",Bristol,County Ground,Bristol,England,NORMALIZED_ALIAS,high,same-city spelling variant; grounds differ by city
"County Ground, Chelmsford",Chelmsford,"County Ground, Chelmsford",Chelmsford,England,EXACT,high,identity mapping
County Ground,Taunton,County Ground,Taunton,England,EXACT,high,identity mapping
Daren Sammy National Cricket Stadium,Gros Islet,Daren Sammy National Cricket Stadium,Gros Islet,Saint Lucia,EXACT,high,identity mapping
"Daren Sammy National Cricket Stadium, Gros Islet",St Lucia,Daren Sammy National Cricket Stadium,Gros Islet,Saint Lucia,CURATED_ALIAS,high,"Gros Islet, St Lucia"
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,Daren Sammy National Cricket Stadium,Gros Islet,Saint Lucia,CURATED_ALIAS,high,"Gros Islet, St Lucia"
"Darren Sammy National Cricket Stadium, St Lucia",Gros Islet,"Darren Sammy National Cricket Stadium, St Lucia",Gros Islet,Saint Lucia,EXACT,high,identity mapping
"Davies Park, Queenstown",Queenstown,"Davies Park, Queenstown",Queenstown,New Zealand,EXACT,high,identity mapping
De Beers Diamond Oval,Kimberley,De Beers Diamond Oval,Kimberley,South Africa,EXACT,medium,identity mapping
"De Beers Diamond Oval, Kimberley",Kimberley,De Beers Diamond Oval,Kimberley,South Africa,CURATED_ALIAS,medium,Diamond Oval is the abbreviated name of the Kimberley ground
Desert Springs Cricket Ground,Almeria,"Desert Springs Cricket Ground, Almeria",Almeria,Spain,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Desert Springs Cricket Ground, Almeria",Almeria,"Desert Springs Cricket Ground, Almeria",Almeria,Spain,EXACT,high,identity mapping
Diamond Oval,Kimberley,Diamond Oval,Kimberley,South Africa,EXACT,high,identity mapping
"Diamond Oval, Kimberley",Kimberley,Diamond Oval,Kimberley,South Africa,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Docklands Stadium,Melbourne,Docklands Stadium,Melbourne,Australia,EXACT,high,identity mapping
Dr DY Patil Sports Academy,Mumbai,Dr DY Patil Sports Academy,Navi Mumbai,India,CURATED_ALIAS,high,"ground is at Nerul, Navi Mumbai"
"Dr DY Patil Sports Academy, Mumbai",Mumbai,Dr DY Patil Sports Academy,Navi Mumbai,India,CURATED_ALIAS,high,"ground is at Nerul, Navi Mumbai"
"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Dr DY Patil Sports Academy,Navi Mumbai,India,CURATED_ALIAS,high,"ground is at Nerul, Navi Mumbai"
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,EXACT,high,identity mapping
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Dreux Sport Cricket Club,Dreux,Dreux Sport Cricket Club,Dreux,France,EXACT,high,identity mapping
Dubai International Cricket Stadium,,Dubai International Cricket Stadium,Dubai,United Arab Emirates,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Dubai International Cricket Stadium,Dubai,Dubai International Cricket Stadium,Dubai,United Arab Emirates,EXACT,high,identity mapping
Dubai Sports City Cricket Stadium,,Dubai Sports City Cricket Stadium,Dubai,United Arab Emirates,CURATED_ALIAS,high,city unambiguous from venue name
Eden Gardens,Kolkata,Eden Gardens,Kolkata,India,EXACT,high,identity mapping
"Eden Gardens, Kolkata",Kolkata,Eden Gardens,Kolkata,India,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Eden Park,Auckland,Eden Park,Auckland,New Zealand,EXACT,high,identity mapping
"Eden Park, Auckland",Auckland,Eden Park,Auckland,New Zealand,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Edgbaston,Birmingham,Edgbaston,Birmingham,England,EXACT,high,identity mapping
"Edgbaston, Birmingham",Birmingham,Edgbaston,Birmingham,England,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Entebbe Cricket Oval,Entebbe,Entebbe Cricket Oval,Entebbe,Uganda,EXACT,high,identity mapping
Estonian National Cricket and Rugby Field,Tallinn,Estonian National Cricket and Rugby Field,Tallinn,Estonia,EXACT,high,identity mapping
Europa Sports Complex,Gibraltar,Europa Sports Complex,Gibraltar,Gibraltar,EXACT,high,identity mapping
"Faleata Oval No 2, Apia",Apia,"Faleata Oval No 2, Apia",Apia,Samoa,EXACT,high,identity mapping
"Forthill, Dundee",Dundee,"Forthill, Dundee",Dundee,Scotland,EXACT,high,identity mapping
Gaddafi Stadium,Lahore,Gaddafi Stadium,Lahore,Pakistan,EXACT,high,identity mapping
"Gaddafi Stadium, Lahore",Lahore,Gaddafi Stadium,Lahore,Pakistan,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Gahanga B Ground, Rwanda",Kigali City,"Gahanga B Ground, Rwanda",Kigali City,Rwanda,EXACT,high,identity mapping
"Gahanga International Cricket Stadium, Rwanda",Kigali City,Gahanga International Cricket Stadium,Kigali City,Rwanda,CURATED_ALIAS,high,comma/period spelling variants of the Kigali ground
Gahanga International Cricket Stadium. Rwanda,Kigali City,Gahanga International Cricket Stadium,Kigali City,Rwanda,CURATED_ALIAS,high,comma/period spelling variants of the Kigali ground
Galle International Stadium,,Galle International Stadium,Galle,Sri Lanka,CURATED_ALIAS,high,city unambiguous from venue name
"GB Oval, Szodliget",Szodliget,"GB Oval, Szodliget",Szodliget,Hungary,EXACT,high,identity mapping
Gelephu International Cricket Ground,Gelephu,Gelephu International Cricket Ground,Gelephu,Bhutan,EXACT,high,identity mapping
"GMHBA Stadium, South Geelong, Victoria",Geelong,"GMHBA Stadium, South Geelong, Victoria",Geelong,Australia,EXACT,high,identity mapping
"Goldenacre, Edinburgh",Edinburgh,"Goldenacre, Edinburgh",Edinburgh,Scotland,EXACT,high,identity mapping
"Grainville, St Saviour",St Saviour,"Grainville, St Saviour",St Saviour,Guernsey,EXACT,high,identity mapping
"Grand Prairie Stadium, Dallas",Dallas,"Grand Prairie Stadium, Dallas",Dallas,United States,EXACT,high,identity mapping
"Grange Cricket Club, Raeburn Place",Edinburgh,"Grange Cricket Club, Raeburn Place",Edinburgh,Scotland,EXACT,high,identity mapping
"Grange Cricket Club Ground, Raeburn Place",Edinburgh,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Scotland,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Scotland,EXACT,high,identity mapping
"Great Barrier Reef Arena, Mackay",Mackay,"Great Barrier Reef Arena, Mackay",Mackay,Australia,EXACT,high,identity mapping
Green Park,Kanpur,Green Park,Kanpur,India,EXACT,high,identity mapping
Greenfield International Stadium,Thiruvananthapuram,"Greenfield International Stadium, Thiruvananthapuram",Thiruvananthapuram,India,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Greenfield International Stadium, Thiruvananthapuram",Thiruvananthapuram,"Greenfield International Stadium, Thiruvananthapuram",Thiruvananthapuram,India,EXACT,high,identity mapping
Gucherre Cricket Ground,Albergaria,Gucherre Cricket Ground,Albergaria,Portugal,EXACT,high,identity mapping
"Guernsey Rovers Athletic Club Ground, Port Soif",Port  Soif,"Guernsey Rovers Athletic Club Ground, Port Soif",Port Soif,Seychelles,CURATED_ALIAS,high,"Port Soif, Guernsey (fixes double-space raw tag)"
"Gymkhana Club Ground, Dar-es-Salaam",Dar-es-Salaam,"Gymkhana Club Ground, Dar-es-Salaam",Dar-es-Salaam,Tanzania,EXACT,high,identity mapping
Gymkhana Club Ground,Nairobi,"Gymkhana Club Ground, Nairobi",Nairobi,Kenya,NORMALIZED_ALIAS,high,same-city spelling variant; grounds differ by city
"Gymkhana Club Ground, Nairobi",Nairobi,"Gymkhana Club Ground, Nairobi",Nairobi,Kenya,EXACT,high,identity mapping
Hagley Oval,Christchurch,Hagley Oval,Christchurch,New Zealand,EXACT,high,identity mapping
"Hagley Oval, Christchurch",Christchurch,Hagley Oval,Christchurch,New Zealand,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Happy Valley Ground,Episkopi,Happy Valley Ground,Episkopi,Cyprus,EXACT,high,identity mapping
Happy Valley Ground 2,Episkopi,Happy Valley Ground 2,Episkopi,Cyprus,EXACT,high,identity mapping
Harare Sports Club,,Harare Sports Club,Harare,Zimbabwe,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Harare Sports Club,Harare,Harare Sports Club,Harare,Zimbabwe,EXACT,high,identity mapping
Hazelaarweg,Rotterdam,"Hazelaarweg, Rotterdam",Rotterdam,Netherlands,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Hazelaarweg, Rotterdam",Rotterdam,"Hazelaarweg, Rotterdam",Rotterdam,Netherlands,EXACT,high,identity mapping
Headingley,Leeds,Headingley,Leeds,England,EXACT,high,identity mapping
"Headingley, Leeds",Leeds,Headingley,Leeds,England,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Himachal Pradesh Cricket Association Stadium,Dharamsala,Himachal Pradesh Cricket Association Stadium,Dharamsala,India,EXACT,high,identity mapping
Himachal Pradesh Cricket Association Stadium,Dharmasala,Himachal Pradesh Cricket Association Stadium,Dharamsala,India,CURATED_ALIAS,high,Dharmasala is a spelling variant of Dharamsala
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,Himachal Pradesh Cricket Association Stadium,Dharamsala,India,CURATED_ALIAS,high,Dharmasala is a spelling variant of Dharamsala
Holkar Cricket Stadium,Indore,Holkar Cricket Stadium,Indore,India,EXACT,high,identity mapping
"Holkar Cricket Stadium, Indore",Indore,Holkar Cricket Stadium,Indore,India,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Hurlingham Club Ground, Buenos Aires",Buenos Aires,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Argentina,EXACT,high,identity mapping
ICC Academy,Dubai,ICC Academy,Dubai,United Arab Emirates,EXACT,high,identity mapping
"ICC Academy, Dubai",Dubai,ICC Academy,Dubai,United Arab Emirates,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
ICC Academy Ground No 2,Dubai,ICC Academy Ground No 2,Dubai,United Arab Emirates,EXACT,high,identity mapping
ICC Global Cricket Academy,Dubai,ICC Global Cricket Academy,Dubai,United Arab Emirates,EXACT,high,identity mapping
"Independence Park, Port Vila",Port Vila,"Independence Park, Port Vila",Port Vila,Vanuatu,EXACT,high,identity mapping
Indian Association Ground,Singapore,Indian Association Ground,Singapore,Singapore,EXACT,high,identity mapping
"Indian Association Ground, Singapore",Singapore,Indian Association Ground,Singapore,Singapore,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Indian Petrochemicals Corporation Limited Sports Complex Ground,Vadodara,Indian Petrochemicals Corporation Limited Sports Complex Ground,Vadodara,India,EXACT,high,identity mapping
Integrated Polytechnic Regional Centre,Kigali City,Integrated Polytechnic Regional Centre,Kigali City,Rwanda,EXACT,high,identity mapping
Iqbal Stadium,Faisalabad,Iqbal Stadium,Faisalabad,Pakistan,EXACT,high,identity mapping
"Iqbal Stadium, Faisalabad",Faisalabad,Iqbal Stadium,Faisalabad,Pakistan,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Ishoj Cricket Club, Vejledalen",Ishoj,"Ishoj Cricket Club, Vejledalen",Ishoj,Denmark,EXACT,high,identity mapping
Jade Stadium,Christchurch,Jade Stadium,Christchurch,New Zealand,EXACT,high,identity mapping
"Jade Stadium, Christchurch",Christchurch,Jade Stadium,Christchurch,New Zealand,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Jaffery Sports Club Ground,Nairobi,Jaffery Sports Club Ground,Nairobi,Kenya,EXACT,high,identity mapping
"Jimmy Powell Oval, Cayman Islands",George Town,"Jimmy Powell Oval, Cayman Islands",George Town,Cayman Islands,EXACT,high,identity mapping
Jinja Cricket Ground,Jinja,Jinja Cricket Ground,Jinja,Uganda,EXACT,high,identity mapping
John Davies Oval,Queenstown,John Davies Oval,Queenstown,New Zealand,EXACT,high,identity mapping
"John Davies Oval, Queenstown",Queenstown,John Davies Oval,Queenstown,New Zealand,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
JSCA International Stadium Complex,Ranchi,JSCA International Stadium Complex,Ranchi,India,EXACT,high,identity mapping
"JSCA International Stadium Complex, Ranchi",Ranchi,JSCA International Stadium Complex,Ranchi,India,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Keenan Stadium,Jamshedpur,Keenan Stadium,Jamshedpur,India,EXACT,high,identity mapping
Kennington Oval,London,Kennington Oval,London,England,EXACT,high,identity mapping
"Kennington Oval, London",London,Kennington Oval,London,England,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Kensington Oval, Barbados",Bridgetown,Kensington Oval,Bridgetown,Barbados,CURATED_ALIAS,high,"Bridgetown, Barbados (city/country tags swapped in raw rows)"
"Kensington Oval, Bridgetown",Barbados,Kensington Oval,Bridgetown,Barbados,CURATED_ALIAS,high,"Bridgetown, Barbados (city/country tags swapped in raw rows)"
"Kensington Oval, Bridgetown, Barbados",Bridgetown,Kensington Oval,Bridgetown,Barbados,CURATED_ALIAS,high,"Bridgetown, Barbados (city/country tags swapped in raw rows)"
Kerava National Cricket Ground,Kerava,Kerava National Cricket Ground,Kerava,Finland,EXACT,high,identity mapping
Khan Shaheb Osman Ali Stadium,Fatullah,Khan Shaheb Osman Ali Stadium,Fatullah,Bangladesh,EXACT,high,identity mapping
King George V Sports Ground,Castel,"King George V Sports Ground, Castel",Castel,Guernsey,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"King George V Sports Ground, Castel",Castel,"King George V Sports Ground, Castel",Castel,Guernsey,EXACT,high,identity mapping
Kingsmead,Durban,Kingsmead,Durban,South Africa,EXACT,high,identity mapping
"Kingsmead, Durban",Durban,Kingsmead,Durban,South Africa,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Kinrara Academy Oval,Kuala Lumpur,Kinrara Academy Oval,Kuala Lumpur,Malaysia,EXACT,high,identity mapping
Koge Cricket Club,Koge,Koge Cricket Club,Koge,Denmark,EXACT,high,identity mapping
"Korogi Sports Park, Nisshin",Nisshin,"Korogi Sports Park, Nisshin",Nisshin,Japan,EXACT,high,identity mapping
"Kotambi Stadium, Vadodara",Vadodara,"Kotambi Stadium, Vadodara",Vadodara,India,EXACT,high,identity mapping
Kyambogo Cricket Oval,Kampala,Kyambogo Cricket Oval,Kampala,Uganda,EXACT,high,identity mapping
La Manga Club Bottom Ground,Murcia,La Manga Club Bottom Ground,Murcia,Spain,EXACT,high,identity mapping
La Manga Club Top Ground,Murcia,La Manga Club Top Ground,Murcia,Spain,EXACT,high,identity mapping
"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",Hyderabad,"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",Hyderabad,India,EXACT,high,identity mapping
Lisicji Jarak Cricket Ground,Belgrade,Lisicji Jarak Cricket Ground,Belgrade,Serbia,EXACT,high,identity mapping
Lord's,London,Lord's,London,England,EXACT,high,identity mapping
"Lord's, London",London,Lord's,London,England,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
